,data_valuemessage,geo_entity_id,geo_entity_name,geo_type_name,indicator_data_id,indicator_id,measure,name,year_description
0,2.8,1,Bronx,Borough,130728,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
1,2.8,2,Brooklyn,Borough,130729,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
2,4.7,3,Manhattan,Borough,130730,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
3,1.9,4,Queens,Borough,130731,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
4,1.6,5,Staten Island,Borough,130732,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
5,2.9,1,New York City,Citywide,130727,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
6,2.9,101,Kingsbridge - Riverdale,UHF42,130685,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
7,2.8,102,Northeast Bronx,UHF42,130686,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
8,2.7,103,Fordham - Bronx Pk,UHF42,130687,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
9,2.7,104,Pelham - Throgs Neck,UHF42,130688,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
10,3.0,105,Crotona -Tremont,UHF42,130689,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
11,3.0,106,High Bridge - Morrisania,UHF42,130690,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
12,2.8,107,Hunts Point - Mott Haven,UHF42,130691,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
13,3.7,201,Greenpoint,UHF42,130692,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
14,3.7,202,Downtown - Heights - Slope,UHF42,130693,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
15,2.5,203,Bedford Stuyvesant - Crown Heights,UHF42,130694,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
16,2.3,204,East New York,UHF42,130695,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
17,3.2,205,Sunset Park,UHF42,130696,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
18,2.5,206,Borough Park,UHF42,130697,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
