,difference_in_rates,discharge_year,expected_rate_per_100_000_people,observed_rate_per_100_000_people,patient_zip_code,pdi_name,pdi_number,risk_adjusted_rate_per_100_000_people
0,,2009,242.95,242.95,STATEWIDE,Asthma,PDI_14,
1,,2010,205.78,205.78,STATEWIDE,Asthma,PDI_14,
2,,2011,206.28,206.28,STATEWIDE,Asthma,PDI_14,
3,,2012,210.39,210.39,STATEWIDE,Asthma,PDI_14,
28,-152.03,2009,152.03,0.0,6390,Asthma,PDI_14,0.0
29,-136.59,2010,136.59,0.0,6390,Asthma,PDI_14,0.0
30,-151.09,2011,151.09,0.0,6390,Asthma,PDI_14,0.0
31,-180.44,2012,180.44,0.0,6390,Asthma,PDI_14,0.0
56,-69.92,2009,241.35,171.43,10001,Asthma,PDI_14,172.57
57,133.77,2010,202.18,335.95,10001,Asthma,PDI_14,341.93
58,-22.47,2011,196.08,173.61,10001,Asthma,PDI_14,182.64
59,208.19,2012,241.0,449.19,10001,Asthma,PDI_14,392.14
84,-88.59,2009,218.17,129.58,10002,Asthma,PDI_14,144.31
85,-50.12,2010,190.76,140.64,10002,Asthma,PDI_14,151.71
86,-33.65,2011,187.37,153.72,10002,Asthma,PDI_14,169.23
87,61.33,2012,211.85,273.18,10002,Asthma,PDI_14,271.3
112,-53.99,2009,183.93,129.94,10003,Asthma,PDI_14,171.63
113,45.21,2010,154.19,199.4,10003,Asthma,PDI_14,266.12
114,64.83,2011,157.39,222.22,10003,Asthma,PDI_14,291.25
115,-73.99,2012,180.49,106.5,10003,Asthma,PDI_14,124.14
140,609.77,2009,168.44,778.21,10004,Asthma,PDI_14,1122.48
141,-141.28,2010,141.28,0.0,10004,Asthma,PDI_14,0.0
142,60.91,2011,144.01,204.92,10004,Asthma,PDI_14,293.52
143,-158.77,2012,158.77,0.0,10004,Asthma,PDI_14,0.0
168,350.71,2009,244.53,595.24,10005,Asthma,PDI_14,591.39
169,285.05,2010,193.42,478.47,10005,Asthma,PDI_14,509.04
170,-200.19,2011,200.19,0.0,10005,Asthma,PDI_14,0.0
171,120.75,2012,231.36,352.11,10005,Asthma,PDI_14,320.2
196,-185.35,2009,185.35,0.0,10006,Asthma,PDI_14,0.0
197,-151.78,2010,151.78,0.0,10006,Asthma,PDI_14,0.0
198,-158.11,2011,158.11,0.0,10006,Asthma,PDI_14,0.0
199,-176.6,2012,176.6,0.0,10006,Asthma,PDI_14,0.0
224,-89.93,2009,178.66,88.73,10007,Asthma,PDI_14,120.66
225,-147.05,2010,147.05,0.0,10007,Asthma,PDI_14,0.0
226,-90.17,2011,142.33,52.16,10007,Asthma,PDI_14,75.6
227,-115.26,2012,159.88,44.62,10007,Asthma,PDI_14,58.72
252,92.07,2009,278.51,370.58,10009,Asthma,PDI_14,323.28
253,-30.74,2010,236.48,205.74,10009,Asthma,PDI_14,179.03
254,56.97,2011,232.75,289.71,10009,Asthma,PDI_14,256.76
255,40.91,2012,257.82,298.73,10009,Asthma,PDI_14,243.78
280,-12.1,2009,222.33,210.23,10010,Asthma,PDI_14,229.73
281,-49.96,2010,188.42,138.46,10010,Asthma,PDI_14,151.21
282,-113.17,2011,189.62,76.45,10010,Asthma,PDI_14,83.17
283,-103.78,2012,217.12,113.34,10010,Asthma,PDI_14,109.82
308,-33.27,2009,216.9,183.63,10011,Asthma,PDI_14,205.69
309,-28.31,2010,178.87,150.56,10011,Asthma,PDI_14,173.22
310,-18.15,2011,178.19,160.04,10011,Asthma,PDI_14,185.27
311,-84.91,2012,207.31,122.4,10011,Asthma,PDI_14,124.22
336,-173.84,2009,173.84,0.0,10012,Asthma,PDI_14,0.0
337,-102.45,2010,145.5,43.05,10012,Asthma,PDI_14,60.88
338,-101.87,2011,149.2,47.33,10012,Asthma,PDI_14,65.43
339,-70.07,2012,173.43,103.36,10012,Asthma,PDI_14,125.39
364,65.77,2009,138.0,203.77,10013,Asthma,PDI_14,358.75
365,50.99,2010,121.21,172.2,10013,Asthma,PDI_14,292.34
366,-67.98,2011,120.45,52.47,10013,Asthma,PDI_14,89.85
367,-45.02,2012,142.06,97.04,10013,Asthma,PDI_14,143.72
392,-58.35,2009,179.46,121.11,10014,Asthma,PDI_14,163.97
393,-68.46,2010,146.01,77.55,10014,Asthma,PDI_14,109.29
394,-67.5,2011,152.32,84.82,10014,Asthma,PDI_14,114.87
395,-8.69,2012,183.52,174.83,10014,Asthma,PDI_14,200.43
420,-119.08,2009,216.66,97.58,10016,Asthma,PDI_14,109.43
421,29.11,2010,181.47,210.58,10016,Asthma,PDI_14,238.78
422,-51.23,2011,181.54,130.31,10016,Asthma,PDI_14,148.07
423,-43.64,2012,198.88,155.24,10016,Asthma,PDI_14,164.23
448,-183.27,2009,183.27,0.0,10017,Asthma,PDI_14,0.0
449,-149.37,2010,149.37,0.0,10017,Asthma,PDI_14,0.0
450,-156.23,2011,156.23,0.0,10017,Asthma,PDI_14,0.0
451,-85.25,2012,172.59,87.34,10017,Asthma,PDI_14,106.47
476,-268.55,2009,268.55,0.0,10018,Asthma,PDI_14,0.0
477,-226.57,2010,226.57,0.0,10018,Asthma,PDI_14,0.0
478,38.1,2011,226.45,264.55,10018,Asthma,PDI_14,240.99
479,267.37,2012,232.63,500.0,10018,Asthma,PDI_14,452.19
504,7.9,2009,265.74,273.64,10019,Asthma,PDI_14,250.18
505,-36.58,2010,221.08,184.5,10019,Asthma,PDI_14,171.73
506,-48.04,2011,220.11,172.07,10019,Asthma,PDI_14,161.26
507,22.0,2012,230.88,252.88,10019,Asthma,PDI_14,230.44
532,-19.11,2009,145.09,125.98,10021,Asthma,PDI_14,210.96
533,-51.53,2010,118.96,67.43,10021,Asthma,PDI_14,116.64
534,-20.34,2011,117.0,96.66,10021,Asthma,PDI_14,170.41
