,expected_rate_per_100_000_people,observed_rate_per_100_000_people,patient_zipcode,pqi_name,pqi_number,year
8,580.8,580.8,STATEWIDE,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
9,543.62,543.62,STATEWIDE,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
10,541.86,541.86,STATEWIDE,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
11,525.47,525.47,STATEWIDE,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
40,96.8,96.8,STATEWIDE,Asthma in Younger Adults,PQI_15,2009
41,75.68,75.68,STATEWIDE,Asthma in Younger Adults,PQI_15,2010
42,74.58,74.58,STATEWIDE,Asthma in Younger Adults,PQI_15,2011
43,74.69,74.69,STATEWIDE,Asthma in Younger Adults,PQI_15,2012
80,527.45,628.32,10001,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
81,494.01,594.99,10001,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
82,504.35,476.19,10001,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
83,534.16,695.64,10001,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
112,67.87,63.25,10001,Asthma in Younger Adults,PQI_15,2009
113,56.21,32.12,10001,Asthma in Younger Adults,PQI_15,2010
114,54.34,39.71,10001,Asthma in Younger Adults,PQI_15,2011
115,57.31,10.12,10001,Asthma in Younger Adults,PQI_15,2012
152,483.67,868.89,10002,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
153,470.14,657.03,10002,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
154,470.69,636.68,10002,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
155,493.46,745.14,10002,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
185,58.08,66.77,10002,Asthma in Younger Adults,PQI_15,2009
186,47.41,99.0,10002,Asthma in Younger Adults,PQI_15,2010
187,48.84,54.89,10002,Asthma in Younger Adults,PQI_15,2011
188,50.16,32.12,10002,Asthma in Younger Adults,PQI_15,2012
225,440.55,426.36,10003,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
226,406.12,226.27,10003,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
227,416.68,339.35,10003,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
228,431.64,344.41,10003,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
257,60.06,19.03,10003,Asthma in Younger Adults,PQI_15,2009
258,49.72,22.99,10003,Asthma in Younger Adults,PQI_15,2010
259,48.4,11.11,10003,Asthma in Younger Adults,PQI_15,2011
260,50.49,14.08,10003,Asthma in Younger Adults,PQI_15,2012
297,337.7,0.0,10004,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
298,318.12,292.38,10004,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
299,319.11,195.8,10004,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
300,368.94,151.91,10004,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
328,62.92,0.0,10004,Asthma in Younger Adults,PQI_15,2009
329,54.78,0.0,10004,Asthma in Younger Adults,PQI_15,2010
330,52.25,0.0,10004,Asthma in Younger Adults,PQI_15,2011
331,46.97,0.0,10004,Asthma in Younger Adults,PQI_15,2012
368,251.57,94.16,10005,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
369,227.04,0.0,10005,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
370,236.5,87.01,10005,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
371,293.37,0.0,10005,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
400,49.06,131.89,10005,Asthma in Younger Adults,PQI_15,2009
401,42.02,0.0,10005,Asthma in Younger Adults,PQI_15,2010
402,40.7,0.0,10005,Asthma in Younger Adults,PQI_15,2011
403,44.33,0.0,10005,Asthma in Younger Adults,PQI_15,2012
440,316.03,0.0,10006,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
441,301.18,0.0,10006,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
442,301.07,228.36,10006,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
443,332.86,775.17,10006,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
472,60.5,0.0,10006,Asthma in Younger Adults,PQI_15,2009
473,51.04,0.0,10006,Asthma in Younger Adults,PQI_15,2010
474,48.84,0.0,10006,Asthma in Younger Adults,PQI_15,2011
475,44.77,0.0,10006,Asthma in Younger Adults,PQI_15,2012
512,301.73,177.21,10007,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
513,285.45,345.95,10007,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
514,304.26,99.22,10007,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
515,340.12,250.69,10007,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
544,60.5,0.0,10007,Asthma in Younger Adults,PQI_15,2009
545,50.38,43.67,10007,Asthma in Younger Adults,PQI_15,2010
546,51.04,0.0,10007,Asthma in Younger Adults,PQI_15,2011
547,54.23,42.46,10007,Asthma in Younger Adults,PQI_15,2012
584,557.7,742.39,10009,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
585,526.13,790.35,10009,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
586,529.65,750.42,10009,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
587,538.23,766.81,10009,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
616,82.83,142.34,10009,Asthma in Younger Adults,PQI_15,2009
617,66.33,107.47,10009,Asthma in Younger Adults,PQI_15,2010
618,63.03,98.45,10009,Asthma in Younger Adults,PQI_15,2011
