,zip_code,neighborhood,uhf_code,zip_3
0,10001,Chelsea and Clinton,306.0,100
1,10002,Lower East Side,309.0,100
2,10003,Lower East Side,309.0,100
3,10004,Lower Manhattan,310.0,100
4,10005,Lower Manhattan,310.0,100
5,10006,Lower Manhattan,310.0,100
6,10007,Lower Manhattan,310.0,100
7,10009,Lower East Side,309.0,100
8,10010,Gramercy Park and Murray Hill,307.0,100
9,10011,Chelsea and Clinton,306.0,100
10,10012,Greenwich Village and Soho,308.0,100
11,10013,Greenwich Village and Soho,308.0,100
12,10014,Greenwich Village and Soho,308.0,100
13,10016,Gramercy Park and Murray Hill,307.0,100
14,10017,Gramercy Park and Murray Hill,307.0,100
15,10018,Chelsea and Clinton,306.0,100
16,10019,Chelsea and Clinton,306.0,100
17,10020,Chelsea and Clinton,306.0,100
18,10021,Upper East Side,305.0,100
19,10022,Gramercy Park and Murray Hill,307.0,100
20,10023,Upper West Side,304.0,100
21,10024,Upper West Side,304.0,100
22,10025,Upper West Side,304.0,100
23,10026,Central Harlem,302.0,100
24,10027,Central Harlem,302.0,100
25,10028,Upper East Side,305.0,100
26,10029,East Harlem,303.0,100
27,10030,Central Harlem,302.0,100
28,10031,Inwood and Washington Heights,301.0,100
29,10032,Inwood and Washington Heights,301.0,100
30,10033,Inwood and Washington Heights,301.0,100
31,10034,Inwood and Washington Heights,301.0,100
32,10035,East Harlem,303.0,100
33,10036,Chelsea and Clinton,306.0,100
34,10037,Central Harlem,302.0,100
35,10038,Lower Manhattan,310.0,100
36,10039,Central Harlem,302.0,100
37,10040,Inwood and Washington Heights,301.0,100
38,10044,Upper East Side,305.0,100
39,10065,Upper East Side,305.0,100
40,10075,Upper East Side,305.0,100
41,10128,Upper East Side,305.0,101
42,10280,Lower Manhattan,310.0,102
43,10301,Stapleton and St. George,502.0,103
44,10302,Port Richmond,501.0,103
45,10303,Port Richmond,501.0,103
46,10304,Stapleton and St. George,502.0,103
47,10305,Stapleton and St. George,502.0,103
48,10306,South Shore,504.0,103
49,10307,South Shore,504.0,103
50,10308,South Shore,504.0,103
51,10309,South Shore,504.0,103
52,10310,Port Richmond,501.0,103
53,10312,South Shore,504.0,103
54,10314,Mid-Island,503.0,103
55,10451,High Bridge and Morrisania,106.0,104
56,10452,High Bridge and Morrisania,106.0,104
57,10453,Central Bronx,105.0,104
58,10454,Hunts Point and Mott Haven,107.0,104
59,10455,Hunts Point and Mott Haven,107.0,104
60,10456,High Bridge and Morrisania,106.0,104
61,10457,Central Bronx,105.0,104
62,10458,Bronx Park and Fordham,103.0,104
63,10459,Hunts Point and Mott Haven,107.0,104
64,10460,Central Bronx,105.0,104
65,10461,Southeast Bronx,104.0,104
66,10462,Southeast Bronx,104.0,104
67,10463,Kingsbridge and Riverdale,101.0,104
68,10464,Southeast Bronx,104.0,104
69,10465,Southeast Bronx,104.0,104
70,10466,Northeast Bronx,102.0,104
71,10467,Bronx Park and Fordham,103.0,104
72,10468,Bronx Park and Fordham,103.0,104
73,10469,Northeast Bronx,102.0,104
74,10470,Northeast Bronx,102.0,104
75,10471,Kingsbridge and Riverdale,101.0,104
76,10472,Southeast Bronx,104.0,104
77,10473,Southeast Bronx,104.0,104
78,10474,Hunts Point and Mott Haven,107.0,104
79,10475,Northeast Bronx,102.0,104
80,11004,Southeast Queens,409.0,110
81,11005,Southeast Queens,409.0,110
82,11101,Northwest Queens,401.0,111
83,11102,Northwest Queens,401.0,111
84,11103,Northwest Queens,401.0,111
85,11104,Northwest Queens,401.0,111
86,11105,Northwest Queens,401.0,111
87,11106,Northwest Queens,401.0,111
88,11201,Northwest Brooklyn,202.0,112
89,11203,Flatbush,207.0,112
90,11204,Borough Park,206.0,112
91,11205,Northwest Brooklyn,202.0,112
92,11206,Bushwick and Williamsburg,211.0,112
93,11207,East New York and New Lots,204.0,112
94,11208,East New York and New Lots,204.0,112
95,11209,Southwest Brooklyn,209.0,112
96,11210,Flatbush,207.0,112
97,11211,Greenpoint,201.0,112
98,11212,Central Brooklyn,203.0,112
99,11213,Central Brooklyn,203.0,112
100,11214,Southwest Brooklyn,209.0,112
101,11215,Northwest Brooklyn,202.0,112
102,11216,Central Brooklyn,203.0,112
103,11217,Northwest Brooklyn,202.0,112
104,11218,Borough Park,206.0,112
105,11219,Borough Park,206.0,112
106,11220,Sunset Park,205.0,112
107,11221,Bushwick and Williamsburg,211.0,112
108,11222,Greenpoint,201.0,112
109,11223,Southern Brooklyn,210.0,112
110,11224,Southern Brooklyn,210.0,112
111,11225,Flatbush,207.0,112
112,11226,Flatbush,207.0,112
113,11228,Southwest Brooklyn,209.0,112
114,11229,Southern Brooklyn,210.0,112
115,11230,Borough Park,206.0,112
116,11231,Northwest Brooklyn,202.0,112
117,11232,Sunset Park,205.0,112
118,11233,Central Brooklyn,203.0,112
119,11234,Canarsie and Flatlands,208.0,112
120,11235,Southern Brooklyn,210.0,112
121,11236,Canarsie and Flatlands,208.0,112
122,11237,Bushwick and Williamsburg,211.0,112
123,11238,Central Brooklyn,203.0,112
124,11239,Canarsie and Flatlands,208.0,112
125,11354,North Queens,403.0,113
126,11355,North Queens,403.0,113
127,11356,North Queens,403.0,113
128,11357,North Queens,403.0,113
129,11358,North Queens,403.0,113
130,11359,North Queens,403.0,113
131,11360,North Queens,403.0,113
132,11361,Northeast Queens,404.0,113
133,11362,Northeast Queens,404.0,113
134,11363,Northeast Queens,404.0,113
135,11364,Northeast Queens,404.0,113
136,11365,Central Queens,406.0,113
137,11366,Central Queens,406.0,113
138,11367,Central Queens,406.0,113
139,11368,West Queens,402.0,113
140,11369,West Queens,402.0,113
141,11370,West Queens,402.0,113
142,11372,West Queens,402.0,113
143,11373,West Queens,402.0,113
144,11374,West Central Queens,405.0,113
145,11375,West Central Queens,405.0,113
146,11377,West Queens,402.0,113
147,11378,West Queens,402.0,113
148,11379,West Central Queens,405.0,113
149,11385,West Central Queens,405.0,113
150,11411,Southeast Queens,409.0,114
151,11412,Jamaica,408.0,114
152,11413,Southeast Queens,409.0,114
153,11414,Southwest Queens,407.0,114
154,11415,Southwest Queens,407.0,114
155,11416,Southwest Queens,407.0,114
156,11417,Southwest Queens,407.0,114
157,11418,Southwest Queens,407.0,114
158,11419,Southwest Queens,407.0,114
159,11420,Southwest Queens,407.0,114
160,11421,Southwest Queens,407.0,114
161,11422,Southeast Queens,409.0,114
162,11423,Jamaica,408.0,114
163,11426,Southeast Queens,409.0,114
164,11427,Southeast Queens,409.0,114
165,11428,Southeast Queens,409.0,114
166,11429,Southeast Queens,409.0,114
167,11432,Jamaica,408.0,114
168,11433,Jamaica,408.0,114
169,11434,Jamaica,408.0,114
170,11435,Jamaica,408.0,114
171,11436,Jamaica,408.0,114
172,11691,Rockaways,410.0,116
173,11692,Rockaways,410.0,116
174,11693,Rockaways,410.0,116
175,11694,Rockaways,410.0,116
176,11695,Rockaways,410.0,116
177,11697,Rockaways,410.0,116
